Date,Open,High,Low,Close,Adj Close,Volume
12/15/2018,8.2,8.36,6.52,7.93,7.93,114730452
12/16/2018,7.93,9.29,7.89,8.35,8.35,103287522
12/17/2018,8.35,8.99,7.81,7.97,7.97,65294868
12/18/2018,7.97,8.97,7.22,8.88,8.88,87399002
12/19/2018,8.88,12.49,8.65,11.49,11.49,308476717
12/20/2018,11.49,11.7,9.69,10.44,10.44,100087015
12/21/2018,10.45,11.85,9.71,10.64,10.64,102539472
12/22/2018,10.65,10.66,3.14,7.69,7.69,233409143
12/23/2018,7.69,9.25,7.48,8.26,8.26,73949389
12/24/2018,8.26,8.42,6.71,7.99,7.99,51606674
12/25/2018,7.99,8.83,7.62,8.15,8.15,30585091
12/26/2018,8.15,8.71,8.05,8.6,8.6,39825469
12/27/2018,8.6,9.41,8.06,8.72,8.72,45882343
12/28/2018,8.72,8.76,7.26,8.1,8.1,37397942
12/29/2018,8.1,8.73,7.9,8.12,8.12,33063363
12/30/2018,8.12,8.19,6.52,7.08,7.08,39561494
12/31/2018,7.08,7.82,7,7.69,7.69,17720129
1/1/2019,7.69,7.95,7.2,7.64,7.64,16182124
1/2/2019,7.64,8.6,7.63,8.3,8.3,37943548
1/3/2019,8.3,9.43,7.84,9.43,9.43,36750566
1/4/2019,9.43,10.49,9.15,9.47,9.47,68944379
1/5/2019,9.47,9.85,8.51,9.29,9.29,39367702
1/6/2019,9.29,9.9,8.73,9.83,9.83,29054146
1/7/2019,9.83,10.89,9.76,10.16,10.16,38918502
1/8/2019,10.16,10.39,8.14,9.6,9.6,46591820
1/9/2019,9.6,9.74,8.8,9.23,9.23,20872868
1/10/2019,9.23,11.49,8.37,11.2,11.2,86012294
1/11/2019,11.2,12.46,8.91,11.27,11.27,115951605
1/12/2019,11.27,15.24,10.57,13.8,13.8,175879710
1/13/2019,13.8,18.67,13.43,16,16,294136188
1/14/2019,16,16.129999,12.9,13.23,13.23,98670786
1/15/2019,13.23,14.7,12.68,12.78,12.78,61599316
1/16/2019,12.78,12.98,8.31,10,10,158929640
1/17/2019,10,10.56,7.5,10.15,10.15,103387986
1/18/2019,10.15,11.47,9.65,10.18,10.18,60490149
1/19/2019,10.18,11.43,9.74,11.07,11.07,48673168
1/20/2019,11.07,15.75,11.04,15.53,15.53,144827267
1/21/2019,15.51,15.57,12,13.47,13.47,149233104
1/22/2019,13.47,15.14,12.45,13.38,13.38,162529908
1/23/2019,13.38,13.92,11.6,12.88,12.88,117889152
1/24/2019,12.88,13.97,12.51,13.9,13.9,58178915
1/25/2019,13.9,15.09,13.47,14.25,14.25,90728372
1/26/2019,14.25,14.8,12.81,14.24,14.24,74893464
1/27/2019,14.24,14.74,13.86,14.38,14.38,38578052
1/28/2019,14.38,14.97,14.09,14.75,14.75,46763405
1/29/2019,14.75,14.85,13.3,13.54,13.54,47827947
1/30/2019,13.54,13.6,10.87,11.35,11.35,99688763
1/31/2019,11.36,12.25,10.31,11.98,11.98,63633373
2/1/2019,11.98,12.17,9.75,10.03,10.03,85914653
2/2/2019,10.03,11.09,8.41,10.23,10.23,106403040
2/3/2019,10.23,11.25,9.15,10.64,10.64,50876511
2/4/2019,10.64,10.85,8.38,8.89,8.89,49886702
2/5/2019,8.89,9.3,6.82,7.06,7.06,72469479
2/6/2019,7.06,8.47,5.8,8.29,8.29,81791456
2/7/2019,8.29,8.97,7.38,7.67,7.67,56898859
2/8/2019,7.67,8.79,7.64,8.31,8.31,41479525
2/9/2019,8.31,9.61,7.93,9.48,9.48,39613927
2/10/2019,9.48,9.9,8.4,8.9,8.9,37909871
2/11/2019,8.9,8.92,7.96,8.33,8.33,25248958
2/12/2019,8.33,9.35,8.33,9.13,9.13,34662763
2/13/2019,9.13,9.2,8.54,8.94,8.94,23890849
2/14/2019,8.94,9.92,8.94,9.85,9.85,38404990
2/15/2019,9.85,10.12,9.45,9.84,9.84,36626120
2/16/2019,9.84,9.95,9.34,9.84,9.84,27955640
2/17/2019,9.84,10.06,9.73,10.02,10.02,27896156
2/18/2019,10.02,10.05,8.9,9.06,9.06,39063214
2/19/2019,9.06,9.65,9.02,9.49,9.49,23899754
2/20/2019,9.49,9.8,8.78,8.88,8.88,28805936
2/21/2019,8.88,8.93,8.09,8.34,8.34,30234547
2/22/2019,8.34,8.65,7.58,7.78,7.78,35995904
2/23/2019,7.78,8.53,7.61,8.26,8.26,29409230
2/24/2019,8.26,8.46,7.62,7.9,7.9,24487295
2/25/2019,7.9,7.96,7.47,7.69,7.69,20366252
2/26/2019,7.69,8.33,7.39,7.99,7.99,30728075
2/27/2019,7.99,8.83,7.86,8.39,8.39,32077140
2/28/2019,8.39,9.13,8.17,8.19,8.19,25382716
3/1/2019,8.19,8.57,8.09,8.55,8.55,17311442
3/2/2019,8.55,8.7,7.92,8.02,8.02,19563191
3/3/2019,8.02,8.28,7.87,7.92,7.92,11394964
3/4/2019,7.92,8.16,7.74,8.15,8.15,15892301
3/5/2019,8.15,8.29,7.94,7.95,7.95,12477673
3/6/2019,7.95,7.95,7.02,7.13,7.13,30257108
3/7/2019,7.13,7.29,5.95,6.43,6.43,60872863
3/8/2019,6.43,6.7,5.88,6.1,6.1,31117578
3/9/2019,6.1,6.18,5.21,6.02,6.02,54802035
3/10/2019,6.02,6.45,5.61,5.64,5.64,34772317
3/11/2019,5.64,6.2,5.41,6.04,6.04,26935027
